City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,san vicente de canete,-13.0751,-76.3835,22.94,79,65,2.48,PE,1683385699
387,port douglas,-16.4833,145.4667,23.85,88,62,4.12,AU,1683385700
388,taoudenni,22.6783,-3.9836,43.89,3,39,1.59,ML,1683385701
389,port blair,11.6667,92.75,29.7,70,100,1.25,IN,1683385701
390,yasuj,30.6682,51.588,22.75,13,0,4.12,IR,1683385702
391,palmer,42.1584,-72.3287,20.65,43,40,4.63,US,1683385703
392,broome,42.2506,-75.833,17.27,55,0,4.12,US,1683385704
393,ambodifotatra,-16.9833,49.85,25.67,79,3,4.17,MG,1683385655
394,chingirlau,51.095,54.0814,20.13,32,3,2.32,KZ,1683385706
395,nema,57.5067,50.5011,5.31,80,100,3.06,RU,1683385706
396,chania,35.5122,24.0156,18.78,72,40,5.14,GR,1683385707
397,dawson creek,55.7666,-120.2362,14.21,38,0,8.23,CA,1683385708
398,balabac,7.9868,117.0645,26.25,78,100,3.73,PH,1683385709
399,robore,-18.3333,-59.75,26.31,58,76,1.16,BO,1683385710
400,tocache,-8.1842,-76.5125,23.44,90,91,0.66,PE,1683385711
401,kone,-21.0595,164.8658,20.6,90,9,1.4,NC,1683385712
402,melfort,52.8667,-104.6177,8.16,71,98,4.55,CA,1683385712
403,bull savanna,17.8868,-77.5902,28.99,57,17,1.61,JM,1683385713
404,porto novo,6.4965,2.6036,31.7,56,36,5.03,BJ,1683385713
405,garoua boulai,5.8833,14.55,26.94,62,100,0.77,CM,1683385714
406,santa cruz,-17.8,-63.1667,17.03,94,75,6.17,BO,1683385715
407,balad,34.0164,44.1453,34.88,7,2,4.63,IQ,1683385715
408,westport,41.1415,-73.3579,19.82,45,0,4.63,US,1683385716
409,kapuskasing,49.4169,-82.4331,14.82,53,34,1.92,CA,1683385716
410,lloydminster,53.2835,-110.0016,9.76,61,7,7.07,CA,1683385667
411,kathu,7.9178,98.3332,29.9,80,99,5.46,TH,1683385717
412,santana,-0.0583,-51.1817,32.1,70,40,5.14,BR,1683385525
413,tadine,-21.55,167.8833,24.02,84,36,5.08,NC,1683385718
414,valparaiso,-33.0393,-71.6273,16.11,88,100,2.57,CL,1683385719
415,puerto deseado,-47.7503,-65.8938,15.2,52,52,7.33,AR,1683385719
416,cole harbour,44.6724,-63.4751,17.12,40,45,4.11,CA,1683385720
417,kemin,42.7846,75.6892,7.53,49,1,3.12,KG,1683385720
418,takoradi,4.8845,-1.7554,30.41,66,99,5.12,GH,1683385721
419,guozhen,34.3659,107.359,12.1,98,100,2.14,CN,1683385721
420,jayapura,-2.5333,140.7,26.66,87,96,0.21,ID,1683385722
421,rongelap,11.1635,166.8941,27.33,74,69,8.71,MH,1683385722
422,swan hill,-35.3378,143.5544,7.09,68,7,4.2,AU,1683385723
423,trenggalek,-8.05,111.7167,25.06,95,100,1.15,ID,1683385724
424,mkushi,-13.6202,29.3939,20.99,45,1,3.43,ZM,1683385725
425,victorica,-36.2151,-65.4359,19.23,28,99,4.66,AR,1683385725
426,mo i rana,66.3128,14.1428,9.26,42,20,3.13,NO,1683385605
427,sisimiut,66.9395,-53.6735,-0.13,96,100,4.17,GL,1683385726
428,novo aripuana,-5.1206,-60.3797,27.24,91,48,2.19,BR,1683385727
429,bengkulu,-3.8004,102.2655,25.16,90,100,3.3,ID,1683385727
430,ajax,43.8501,-79.0329,18.18,45,0,2.57,CA,1683385728
431,fereydunshahr,32.941,50.121,15.87,21,0,2.64,IR,1683385728
432,nadym,65.5333,72.5167,-0.48,87,100,3.83,RU,1683385729
433,pierre,44.3683,-100.351,12.51,93,100,6.17,US,1683385479
434,parfino,57.9731,31.6481,7.2,34,81,3.24,RU,1683385730
435,shimoda,34.6667,138.95,20.61,84,100,7.85,JP,1683385605
436,yeppoon,-23.1333,150.7333,17.88,71,98,3.19,AU,1683385731
437,jolalpan,18.325,-98.8417,31.67,36,48,0.38,MX,1683385732
438,ulladulla,-35.35,150.4667,5.98,80,68,2.92,AU,1683385733
439,kill devil hills,36.0307,-75.676,18.32,55,0,3.6,US,1683385641
440,coronel dorrego,-38.7187,-61.2873,18.45,33,99,4.29,AR,1683385734
441,sovetskiy,61.3614,63.5842,16.04,36,100,3.86,RU,1683385735
442,brooks,50.5834,-111.8851,9.46,77,100,3.6,CA,1683385210
443,byron bay,-28.65,153.6167,17.69,79,79,3.94,AU,1683385646
444,paracuru,-3.41,-39.0306,30.06,63,48,5.86,BR,1683385641
445,katsuura,35.1333,140.3,20.74,78,95,13.19,JP,1683385737
446,lingyuan,41.24,119.4011,13.71,31,100,1.7,CN,1683385738
447,plastun,44.7561,136.2939,3.3,74,12,1.28,RU,1683385738
448,bonthe,7.5264,-12.505,31.93,60,97,5.36,SL,1683385739
449,gizo,-8.103,156.8419,28.09,78,86,3.39,SB,1683385739
450,nahrin,36.0649,69.1334,12.1,74,87,1.19,AF,1683385465
451,saudarkrokur,65.7461,-19.6394,7.8,78,100,1.77,IS,1683385740
452,saldanha,-33.0117,17.9442,17.67,75,56,3.51,ZA,1683385741
453,sawakin,19.1059,37.3321,32.18,42,79,3.84,SD,1683385742
454,zemio,5.0314,25.1361,29.7,46,99,4.43,CF,1683385742
455,pyapon,16.2833,95.6833,30.76,61,6,6.57,MM,1683385743
456,ulanhot,46.0833,122.0833,10.97,55,100,1.3,CN,1683385745
457,nosy varika,-20.5833,48.5333,24.08,81,5,2.76,MG,1683385599
458,vizinga,61.0749,50.1031,5.6,88,100,2.41,RU,1683385746
459,willowmore,-33.2926,23.4895,19.27,34,96,5.81,ZA,1683385747
460,olonets,60.9847,32.9698,4.77,58,100,3.74,RU,1683385748
461,fiambala,-27.6871,-67.6149,13.87,40,0,1.15,AR,1683385748
462,georgetown,5.4112,100.3354,28.97,84,20,1.54,MY,1683385563
463,kununurra,-15.7667,128.7333,21.99,78,8,0.51,AU,1683385750
464,tharangambadi,11.0319,79.8528,27.32,81,100,1.56,IN,1683385751
465,katabu,-4.9333,122.5167,24.69,93,82,1.13,ID,1683385751
466,labrador city,52.9463,-66.9114,11.56,52,66,5.71,CA,1683385752
467,port hedland,-20.3167,118.5667,26.03,27,100,4.12,AU,1683385754
468,mokpo,34.7936,126.3886,13.68,84,100,6.14,KR,1683385754
469,mogocha,53.7333,119.7667,2.87,51,4,1.31,RU,1683385755
